award_year,category,motivation,Name,links
2020,Economic Sciences,for improvements to auction theory and inventions of new auction formats,Robert B. Wilson,https://www.nobelprize.org/images/wilson-robert%20b111769-portrait-mini-2x.jpg
2020,Literature,for her unmistakable poetic voice that with austere beauty makes individual existence universal,Louise Glück,https://www.nobelprize.org/images/gluck-111767-portrait-mini-2x.jpg
2020,Peace,"for its efforts to combat hunger, for its contribution to bettering conditions for peace in conflict-affected areas and for acting as a driving force in efforts to prevent the use of hunger as a weapon of war and conflict",World Food Programme (WFP),https://www.nobelprize.org/images/wfp-111771-portrait-mini-2x.jpg
2020,Physics,for the discovery of a supermassive compact object at the centre of our galaxy,Andrea Ghez,https://www.nobelprize.org/images/ghez-111760-portrait-mini-2x.jpg
2020,Physics,for the discovery of a supermassive compact object at the centre of our galaxy,Reinhard Genzel,https://www.nobelprize.org/images/genzel-111759-portrait-mini-2x.jpg
2020,Physics,for the discovery that black hole formation is a robust prediction of the general theory of relativity,Roger Penrose,https://www.nobelprize.org/images/penrose-111758-portrait-mini-2x.jpg
2020,Physiology or Medicine,for the discovery of Hepatitis C virus,Charles M. Rice,https://www.nobelprize.org/images/rice-111766-portrait-mini-2x.jpg
2020,Physiology or Medicine,for the discovery of Hepatitis C virus,Harvey J. Alter,https://www.nobelprize.org/images/alter-111765-portrait-mini-2x.jpg
2020,Physiology or Medicine,for the discovery of Hepatitis C virus,Michael Houghton,https://www.nobelprize.org/images/houghton-111770-portrait-mini-2x.jpg
2019,Chemistry,for the development of lithium-ion batteries,Akira Yoshino,https://www.nobelprize.org/images/yoshino-100428-portrait-mini-2x.jpg
2019,Chemistry,for the development of lithium-ion batteries,John B. Goodenough,https://www.nobelprize.org/images/goodenough-99991-portrait-mini-2x.jpg
2019,Chemistry,for the development of lithium-ion batteries,M. Stanley Whittingham,https://www.nobelprize.org/images/whittingham-99990-portrait-mini-2x.jpg
2019,Economic Sciences,for their experimental approach to alleviating global poverty,Abhijit Banerjee,https://www.nobelprize.org/images/banerjee-99994-portrait-mini-2x.jpg
2019,Economic Sciences,for their experimental approach to alleviating global poverty,Esther Duflo,https://www.nobelprize.org/images/duflo-99998-portrait-mini-2x.jpg
2019,Economic Sciences,for their experimental approach to alleviating global poverty,Michael Kremer,https://www.nobelprize.org/images/kremer-100426-portrait-mini-2x.jpg
2019,Literature,for an influential work that with linguistic ingenuity has explored the periphery and the specificity of human experience,Peter Handke,https://www.nobelprize.org/images/handke-99999-portrait-mini-2x.jpg
2019,Peace,"for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea",Abiy Ahmed Ali,https://www.nobelprize.org/images/abiy-99992-portrait-mini-2x.jpg
2019,Physics,for the discovery of an exoplanet orbiting a solar-type star,Didier Queloz,https://www.nobelprize.org/images/queloz-99989-portrait-mini-2x.jpg
2019,Physics,for theoretical discoveries in physical cosmology,James Peebles,https://www.nobelprize.org/images/peebles-100425-portrait-mini-2x.jpg
2019,Physics,for the discovery of an exoplanet orbiting a solar-type star,Michel Mayor,https://www.nobelprize.org/images/mayor-99988-portrait-mini-2x.jpg
2019,Physiology or Medicine,for their discoveries of how cells sense and adapt to oxygen availability,Gregg L. Semenza,https://www.nobelprize.org/images/semenza-100001-portrait-mini-2x.jpg
2019,Physiology or Medicine,for their discoveries of how cells sense and adapt to oxygen availability,Sir Peter J. Ratcliffe,https://www.nobelprize.org/images/ratcliffe-99995-portrait-mini-2x.jpg
2019,Physiology or Medicine,for their discoveries of how cells sense and adapt to oxygen availability,William G. Kaelin Jr,https://www.nobelprize.org/images/kaelin-101333-portrait-mini-2x.jpg
2018,Chemistry,for the directed evolution of enzymes,Frances H. Arnold,https://www.nobelprize.org/images/arnold-57918-portrait-mini-2x.jpg
2018,Chemistry,for the phage display of peptides and antibodies,George P. Smith,https://www.nobelprize.org/images/smith-57911-portrait-mini-2x.jpg
2018,Chemistry,for the phage display of peptides and antibodies,Sir Gregory P. Winter,https://www.nobelprize.org/images/winter-57917-portrait-mini-2x.jpg
2018,Economic Sciences,for integrating technological innovations into long-run macroeconomic analysis,Paul M. Romer,https://www.nobelprize.org/images/romer-57921-portrait-mini-2x.jpg
2018,Economic Sciences,for integrating climate change into long-run macroeconomic analysis,William D. Nordhaus,https://www.nobelprize.org/images/nordhaus-57922-portrait-mini-2x.jpg
2018,Literature,for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life,Olga Tokarczuk,https://www.nobelprize.org/images/tokarczuk-100427-portrait-mini-2x.jpg
2018,Peace,for their efforts to end the use of sexual violence as a weapon of war and armed conflict,Denis Mukwege,https://www.nobelprize.org/images/mukwege-57912-portrait-mini-2x.jpg
2018,Peace,for their efforts to end the use of sexual violence as a weapon of war and armed conflict,Nadia Murad Basee Taha,https://www.nobelprize.org/images/murad-57913-portrait-mini-2x.jpg
2018,Physics,for the optical tweezers and their application to biological systems,Arthur Ashkin,https://www.nobelprize.org/images/ashkin-101113-portrait-mini-2x.jpg
2018,Physics,"for their method of generating high-intensity, ultra-short optical pulses",Donna Strickland,https://www.nobelprize.org/images/strickland-57920-portrait-mini-2x.jpg
2018,Physics,"for their method of generating high-intensity, ultra-short optical pulses",Gérard Mourou,https://www.nobelprize.org/images/mourou-57916-portrait-mini-2x.jpg
2018,Physiology or Medicine,for their discovery of cancer therapy by inhibition of negative immune regulation,James P. Allison,https://www.nobelprize.org/images/allison-57914-portrait-mini-2x.jpg
2018,Physiology or Medicine,for their discovery of cancer therapy by inhibition of negative immune regulation,Tasuku Honjo,https://www.nobelprize.org/images/honjo-61533-portrait-mini-2x.jpg
2017,Chemistry,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,Jacques Dubochet,https://www.nobelprize.org/images/dubochet-15235-portrait-mini-2x.jpg
2017,Chemistry,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,Joachim Frank,https://www.nobelprize.org/images/frank-15234-portrait-mini-2x.jpg
2017,Chemistry,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,Richard Henderson,https://www.nobelprize.org/images/henderson-15230-portrait-mini-2x.jpg
2017,Economic Sciences,for his contributions to behavioural economics,Richard H. Thaler,https://www.nobelprize.org/images/thaler-15229-portrait-mini-2x.jpg
2017,Literature,"who, in novels of great emotional force, has uncovered the abyss beneath our illusory sense of connection with the world",Kazuo Ishiguro,https://www.nobelprize.org/images/ishiguro-15228-portrait-mini-2x.jpg
2017,Peace,for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons,International Campaign to Abolish Nuclear Weapons (ICAN),https://www.nobelprize.org/images/ican-15220-portrait-mini-2x.jpg
2017,Physics,for decisive contributions to the LIGO detector and the observation of gravitational waves,Barry C. Barish,https://www.nobelprize.org/images/barish-15224-portrait-mini-2x.jpg
2017,Physics,for decisive contributions to the LIGO detector and the observation of gravitational waves,Kip S. Thorne,https://www.nobelprize.org/images/thorne-15223-portrait-mini-2x.jpg
2017,Physics,for decisive contributions to the LIGO detector and the observation of gravitational waves,Rainer Weiss,https://www.nobelprize.org/images/weiss-15236-portrait-mini-2x.jpg
2017,Physiology or Medicine,for their discoveries of molecular mechanisms controlling the circadian rhythm,Jeffrey C. Hall,https://www.nobelprize.org/images/hall-15227-portrait-mini-2x.jpg
2017,Physiology or Medicine,for their discoveries of molecular mechanisms controlling the circadian rhythm,Michael Rosbash,https://www.nobelprize.org/images/rosbash-15226-portrait-mini-2x.jpg
2017,Physiology or Medicine,for their discoveries of molecular mechanisms controlling the circadian rhythm,Michael W. Young,https://www.nobelprize.org/images/young-15225-portrait-mini-2x.jpg
2016,Chemistry,for the design and synthesis of molecular machines,Bernard L. Feringa,https://www.nobelprize.org/images/sauvage-15210-portrait-mini-2x.jpg
2016,Chemistry,for the design and synthesis of molecular machines,Jean-Pierre Sauvage,https://www.nobelprize.org/images/sauvage-15210-portrait-mini-2x.jpg
2016,Chemistry,for the design and synthesis of molecular machines,Sir J. Fraser Stoddart,https://www.nobelprize.org/images/stoddart-15208-portrait-mini-2x.jpg
2016,Economic Sciences,for their contributions to contract theory,Bengt Holmström,https://www.nobelprize.org/images/holmstrom-15203-portrait-mini-2x.jpg
2016,Economic Sciences,for their contributions to contract theory,Oliver Hart,https://www.nobelprize.org/images/hart-15206-portrait-mini-2x.jpg
2016,Literature,for having created new poetic expressions within the great American song tradition,Bob Dylan,https://www.nobelprize.org/images/dylan-13656-portrait-mini-2x.jpg
2016,Peace,for his resolute efforts to bring the country's more than 50-year-long civil war to an end,Juan Manuel Santos,https://www.nobelprize.org/images/santos-15207-portrait-mini-2x.jpg
2016,Physics,for theoretical discoveries of topological phase transitions and topological phases of matter,David J. Thouless,https://www.nobelprize.org/images/thouless-15201-portrait-mini-2x.jpg
2016,Physics,for theoretical discoveries of topological phase transitions and topological phases of matter,F. Duncan M. Haldane,https://www.nobelprize.org/images/haldane-15205-portrait-mini-2x.jpg
2016,Physics,for theoretical discoveries of topological phase transitions and topological phases of matter,J. Michael Kosterlitz,https://www.nobelprize.org/images/kosterlitz-15202-portrait-mini-2x.jpg
2016,Physiology or Medicine,for his discoveries of mechanisms for autophagy,Yoshinori Ohsumi,https://www.nobelprize.org/images/ohsumi-15209-portrait-mini-2x.jpg
2015,Chemistry,for mechanistic studies of DNA repair,Aziz Sancar,https://www.nobelprize.org/images/sancar-15199-portrait-mini-2x.jpg
2015,Chemistry,for mechanistic studies of DNA repair,Paul Modrich,https://www.nobelprize.org/images/modrich-13642-portrait-mini-2x.jpg
2015,Chemistry,for mechanistic studies of DNA repair,Tomas Lindahl,https://www.nobelprize.org/images/lindahl-13641-portrait-mini-2x.jpg
2015,Economic Sciences,"for his analysis of consumption, poverty, and welfare",Angus Deaton,https://www.nobelprize.org/images/deaton-13644-portrait-mini-2x.jpg
2015,Literature,"for her polyphonic writings, a monument to suffering and courage in our time",Svetlana Alexievich,https://www.nobelprize.org/images/alexievich-13645-portrait-mini-2x.jpg
2015,Peace,for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011,National Dialogue Quartet,https://www.nobelprize.org/images/tndq-15200-portrait-mini-2x.jpg
2015,Physics,"for the discovery of neutrino oscillations, which shows that neutrinos have mass",Arthur B. McDonald,https://www.nobelprize.org/images/mcdonald-13650-portrait-mini-2x.jpg
2015,Physics,"for the discovery of neutrino oscillations, which shows that neutrinos have mass",Takaaki Kajita,https://www.nobelprize.org/images/kajita-13649-portrait-mini-2x.jpg
2015,Physiology or Medicine,for their discoveries concerning a novel therapy against infections caused by roundworm parasites,Satoshi Ōmura,https://www.nobelprize.org/images/omura-13647-portrait-mini-2x.jpg
2015,Physiology or Medicine,for her discoveries concerning a novel therapy against Malaria,Tu Youyou,https://www.nobelprize.org/images/tu-13648-portrait-mini-2x.jpg
2015,Physiology or Medicine,for their discoveries concerning a novel therapy against infections caused by roundworm parasites,William C. Campbell,https://www.nobelprize.org/images/campbell-13646-portrait-mini-2x.jpg
2014,Chemistry,for the development of super-resolved fluorescence microscopy,Eric Betzig,https://www.nobelprize.org/images/betzig-15197-portrait-mini-2x.jpg
2014,Chemistry,for the development of super-resolved fluorescence microscopy,Stefan W. Hell,https://www.nobelprize.org/images/hell-15196-portrait-mini-2x.jpg
2014,Chemistry,for the development of super-resolved fluorescence microscopy,William E. Moerner,https://www.nobelprize.org/images/moerner-15195-portrait-mini-2x.jpg
2014,Economic Sciences,for his analysis of market power and regulation,Jean Tirole,https://www.nobelprize.org/images/tirole-15194-portrait-mini-2x.jpg
2014,Literature,"for the art of memory with which he has evoked the most ungraspable human destinies and
uncovered the life-world of the occupation",Patrick Modiano,https://www.nobelprize.org/images/modiano-15193-portrait-mini-2x.jpg
2014,Peace,for their struggle against the suppression of children and young people and for the right of all children to education,Kailash Satyarthi,https://www.nobelprize.org/images/satyarthi-15189-portrait-mini-2x.jpg
2014,Peace,for their struggle against the suppression of children and young people and for the right of all children to education,Malala Yousafzai,https://www.nobelprize.org/images/yousafzai-15198-portrait-mini-2x.jpg
2014,Physics,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,Hiroshi Amano,https://www.nobelprize.org/images/amano-15187-portrait-mini-2x.jpg
2014,Physics,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,Isamu Akasaki,https://www.nobelprize.org/images/akasaki-15188-portrait-mini-2x.jpg
2014,Physics,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,Shuji Nakamura,https://www.nobelprize.org/images/nakamura-15186-portrait-mini-2x.jpg
2014,Physiology or Medicine,for their discoveries of cells that constitute a positioning system in the brain,Edvard I. Moser,https://www.nobelprize.org/images/edvard-moser-15192-portrait-mini-2x.jpg
2014,Physiology or Medicine,for their discoveries of cells that constitute a positioning system in the brain,John O'Keefe,https://www.nobelprize.org/images/okeefe-15190-portrait-mini-2x.jpg
2014,Physiology or Medicine,for their discoveries of cells that constitute a positioning system in the brain,May-Britt Moser,https://www.nobelprize.org/images/may-britt-moser-15191-portrait-mini-2x.jpg
2013,Chemistry,for the development of multiscale models for complex chemical systems,Arieh Warshel,https://www.nobelprize.org/images/warshel-13617-portrait-mini-2x.jpg
2013,Chemistry,for the development of multiscale models for complex chemical systems,Martin Karplus,https://www.nobelprize.org/images/karplus-13615-portrait-mini-2x.jpg
2013,Chemistry,for the development of multiscale models for complex chemical systems,Michael Levitt,https://www.nobelprize.org/images/levitt-13616-portrait-mini-2x.jpg
2013,Economic Sciences,for their empirical analysis of asset prices,Eugene F. Fama,https://www.nobelprize.org/images/fama-13618-portrait-mini-2x.jpg
2013,Economic Sciences,for their empirical analysis of asset prices,Lars Peter Hansen,https://www.nobelprize.org/images/hansen-13619-portrait-mini-2x.jpg
2013,Economic Sciences,for their empirical analysis of asset prices,Robert J. Shiller,https://www.nobelprize.org/images/shiller-13620-portrait-mini-2x.jpg
2013,Literature,master of the contemporary short story,Alice Munro,https://www.nobelprize.org/images/munro-15184-portrait-mini-2x.jpg
2013,Peace,for its extensive efforts to eliminate chemical weapons,Organisation for the Prohibition of Chemical Weapons (OPCW),https://www.nobelprize.org/images/opcw-13805-portrait-mini-2x.jpg
2013,Physics,"for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider",François Englert,https://www.nobelprize.org/images/englert-13626-portrait-mini-2x.jpg
2013,Physics,"for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider",Peter W. Higgs,https://www.nobelprize.org/images/higgs-15185-portrait-mini-2x.jpg
2013,Physiology or Medicine,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells",James E. Rothman,https://www.nobelprize.org/images/rothman-13622-portrait-mini-2x.jpg
2013,Physiology or Medicine,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells",Randy W. Schekman,https://www.nobelprize.org/images/schekman-13623-portrait-mini-2x.jpg
2013,Physiology or Medicine,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells",Thomas C. Südhof,https://www.nobelprize.org/images/sudhof-13624-portrait-mini-2x.jpg
2012,Chemistry,for studies of G-protein-coupled receptors,Brian K. Kobilka,https://www.nobelprize.org/images/kobilka-15183-portrait-mini-2x.jpg
2012,Chemistry,for studies of G-protein-coupled receptors,Robert J. Lefkowitz,https://www.nobelprize.org/images/lefkowitz-15182-portrait-mini-2x.jpg
2012,Economic Sciences,for the theory of stable allocations and the practice of market design,Alvin E. Roth,https://www.nobelprize.org/images/roth-15181-portrait-mini-2x.jpg
2012,Economic Sciences,for the theory of stable allocations and the practice of market design,Lloyd S. Shapley,https://www.nobelprize.org/images/shapley-15180-portrait-mini-2x.jpg
2012,Literature,"who with hallucinatory realism merges folk tales, history and the contemporary",Mo Yan,https://www.nobelprize.org/images/yan-15179-portrait-mini-2x.jpg
2012,Peace,"for over six decades contributed to the advancement of peace and reconciliation, democracy and human rights in Europe",European Union (EU),https://www.nobelprize.org/images/eu-13792-portrait-mini-2x.jpg
2012,Physics,for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems,David J. Wineland,https://www.nobelprize.org/images/wineland-15175-portrait-mini-2x.jpg
2012,Physics,for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems,Serge Haroche,https://www.nobelprize.org/images/haroche-15176-portrait-mini-2x.jpg
2012,Physiology or Medicine,for the discovery that mature cells can be reprogrammed to become pluripotent,Shinya Yamanaka,https://www.nobelprize.org/images/yamanaka-15177-portrait-mini-2x.jpg
2012,Physiology or Medicine,for the discovery that mature cells can be reprogrammed to become pluripotent,Sir John B. Gurdon,https://www.nobelprize.org/images/gurdon-15178-portrait-mini-2x.jpg
2011,Chemistry,for the discovery of quasicrystals,Dan Shechtman,https://www.nobelprize.org/images/shechtman-15174-portrait-mini-2x.jpg
2011,Economic Sciences,for their empirical research on cause and effect in the macroeconomy,Christopher A. Sims,https://www.nobelprize.org/images/sims-15172-portrait-mini-2x.jpg
2011,Economic Sciences,for their empirical research on cause and effect in the macroeconomy,Thomas J. Sargent,https://www.nobelprize.org/images/sargent-15173-portrait-mini-2x.jpg
2011,Literature,"because, through his condensed, translucent images, he gives us fresh access to reality",Tomas Tranströmer,https://www.nobelprize.org/images/transtromer-13775-portrait-mini-2x.jpg
2011,Peace,for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work,Ellen Johnson Sirleaf,https://www.nobelprize.org/images/johnson_sirleaf-15167-portrait-mini-2x.jpg
2011,Peace,for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work,Leymah Gbowee,https://www.nobelprize.org/images/gbowee-15168-portrait-mini-2x.jpg
2011,Peace,for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work,Tawakkol Karman,https://www.nobelprize.org/images/karman-15166-portrait-mini-2x.jpg
2011,Physics,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,Adam G. Riess,https://www.nobelprize.org/images/riess-15164-portrait-mini-2x.jpg
2011,Physics,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,Brian P. Schmidt,https://www.nobelprize.org/images/schmidt-15163-portrait-mini-2x.jpg
2011,Physics,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,Saul Perlmutter,https://www.nobelprize.org/images/perlmutter-15165-portrait-mini-2x.jpg
2011,Physiology or Medicine,for their discoveries concerning the activation of innate immunity,Bruce A. Beutler,https://www.nobelprize.org/images/beutler-15171-portrait-mini-2x.jpg
2011,Physiology or Medicine,for their discoveries concerning the activation of innate immunity,Jules A. Hoffmann,https://www.nobelprize.org/images/hoffmann-15170-portrait-mini-2x.jpg
2011,Physiology or Medicine,for his discovery of the dendritic cell and its role in adaptive immunity,Ralph M. Steinman,https://www.nobelprize.org/images/steinman-15169-portrait-mini-2x.jpg
2010,Chemistry,for palladium-catalyzed cross couplings in organic synthesis,Akira Suzuki,https://www.nobelprize.org/images/suzuki-15160-portrait-mini-2x.jpg
2010,Chemistry,for palladium-catalyzed cross couplings in organic synthesis,Ei-ichi Negishi,https://www.nobelprize.org/images/negishi-15161-portrait-mini-2x.jpg
2010,Chemistry,for palladium-catalyzed cross couplings in organic synthesis,Richard F. Heck,https://www.nobelprize.org/images/heck-15162-portrait-mini-2x.jpg
2010,Economic Sciences,for their analysis of markets with search frictions,Christopher A. Pissarides,https://www.nobelprize.org/images/pissarides-15157-portrait-mini-2x.jpg
2010,Economic Sciences,for their analysis of markets with search frictions,Dale T. Mortensen,https://www.nobelprize.org/images/mortensen-15158-portrait-mini-2x.jpg
2010,Economic Sciences,for their analysis of markets with search frictions,Peter A. Diamond,https://www.nobelprize.org/images/diamond-15159-portrait-mini-2x.jpg
2010,Literature,"for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat",Mario Vargas Llosa,https://www.nobelprize.org/images/vargas_llosa-15156-portrait-mini-2x.jpg
2010,Peace,for his long and non-violent struggle for fundamental human rights in China,Liu Xiaobo,https://www.nobelprize.org/images/xiaobo-15154-portrait-mini-2x.jpg
2010,Physics,for groundbreaking experiments regarding the two-dimensional material graphene,Andre Geim,https://www.nobelprize.org/images/geim-15153-portrait-mini-2x.jpg
2010,Physics,for groundbreaking experiments regarding the two-dimensional material graphene,Konstantin Novoselov,https://www.nobelprize.org/images/novoselov-15155-portrait-mini-2x.jpg
2010,Physiology or Medicine,for the development of in vitro fertilization,Robert G. Edwards,https://www.nobelprize.org/images/edwards-13768-portrait-mini-2x.jpg
2009,Chemistry,for studies of the structure and function of the ribosome,Ada E. Yonath,https://www.nobelprize.org/images/yonath-15150-portrait-mini-2x.jpg
2009,Chemistry,for studies of the structure and function of the ribosome,Thomas A. Steitz,https://www.nobelprize.org/images/steitz-15151-portrait-mini-2x.jpg
2009,Chemistry,for studies of the structure and function of the ribosome,Venkatraman Ramakrishnan,https://www.nobelprize.org/images/ramakrishnan-15152-portrait-mini-2x.jpg
2009,Economic Sciences,"for her analysis of economic governance, especially the commons",Elinor Ostrom,https://www.nobelprize.org/images/ostrom-15149-portrait-mini-2x.jpg
2009,Economic Sciences,"for his analysis of economic governance, especially the boundaries of the firm",Oliver E. Williamson,https://www.nobelprize.org/images/williamson-15148-portrait-mini-2x.jpg
2009,Literature,"who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed",Herta Müller,https://www.nobelprize.org/images/muller-15147-portrait-mini-2x.jpg
2009,Peace,for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples,Barack Hussein Obama,https://www.nobelprize.org/images/obama-15143-portrait-mini-2x.jpg
2009,Physics,for groundbreaking achievements concerning the transmission of light in fibers for optical communication,Charles Kuen Kao,https://www.nobelprize.org/images/kao-15141-portrait-mini-2x.jpg
2009,Physics,for the invention of an imaging semiconductor circuit - the CCD sensor,George E. Smith,https://www.nobelprize.org/images/smith-15140-portrait-mini-2x.jpg
2009,Physics,for the invention of an imaging semiconductor circuit - the CCD sensor,Willard S. Boyle,https://www.nobelprize.org/images/boyle-15142-portrait-mini-2x.jpg
2009,Physiology or Medicine,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase,Carol W. Greider,https://www.nobelprize.org/images/greider-15145-portrait-mini-2x.jpg
2009,Physiology or Medicine,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase,Elizabeth H. Blackburn,https://www.nobelprize.org/images/blackburn-15146-portrait-mini-2x.jpg
